Estacion,PC1,PC2,Patron_Lluvia
1,-0.26199497664638394,-0.9910743265051225,Madrugada-Noche
2,1.4840539917319098,-0.9281348976796242,Madrugada-Noche
3,9.90764622848154,-0.17188481328929703,Madrugada-Noche
4,2.798273864027513,0.8101208694365116,Tarde
5,4.109801317192871,0.6725830647492412,Tarde
7,-5.301770518957705,0.058168483732856026,Tarde
8,1.6469353331497751,-0.6118641215561309,Madrugada-Noche
9,-2.614396967556064,-0.17698802644373857,Madrugada-Noche
10,1.927497775980484,0.3301296986414962,Tarde
11,-0.24479474898278616,-0.4982121710433035,Madrugada-Noche
12,-3.785854975943821,-0.45302527841716,Madrugada-Noche
14,-2.1986817055607615,-0.721781157702548,Madrugada-Noche
15,-1.4929739334349883,1.4435478446830146,Tarde
16,-1.6177813847765607,1.162908994159948,Tarde
17,-0.7393363154956173,-0.941718319541666,Madrugada-Noche
18,7.379196909543023,-2.147368447761323,Madrugada-Noche
19,0.05547441252275936,-0.07380471981651827,Madrugada-Noche
20,-0.49948582429213,-1.0363601784104997,Madrugada-Noche
21,1.864726327679614,-1.1816451531589325,Madrugada-Noche
22,-2.219671742955998,-0.00442897373823843,Madrugada-Noche
23,0.8102439220412897,-1.3144485742931542,Madrugada-Noche
24,-2.955541774052574,-1.0814345960340406,Madrugada-Noche
25,9.954996902991406,-1.3519369173435902,Madrugada-Noche
26,3.706502544505681,0.5306212831422686,Tarde
27,-2.2736600390342936,-1.0106587263700346,Madrugada-Noche
28,-3.633194448195143,-0.0858940565210623,Madrugada-Noche
29,5.112542168079418,-1.8487193509702557,Madrugada-Noche
30,8.574584823510383,-6.721723184688637,Madrugada-Noche
31,-2.8846194464298427,-2.0598299673732017,Madrugada-Noche
32,-4.429315335636282,-0.6777687448786269,Madrugada-Noche
33,1.5587588319747534,4.333224406255852,Tarde
34,3.186250793112919,1.109766184843318,Tarde
35,-3.0782056577108987,1.7122278603751568,Tarde
36,5.180189910141802,-1.044509944032739,Madrugada-Noche
37,-5.038082840173935,-1.254138325002702,Madrugada-Noche
39,-2.7161771130369727,0.1322768961606649,Tarde
40,-3.9094413512225157,0.3551417696272985,Tarde
41,-1.1217735137619347,0.1907782497435531,Tarde
42,-0.6501465731439,1.8282347624946196,Tarde
43,10.44225849807257,-1.0207708254651833,Madrugada-Noche
44,-3.751620632281275,2.5031986664539696,Tarde
45,-4.440208790399261,0.25781984783934103,Tarde
46,-0.817698297406889,0.021371229446764693,Tarde
47,-1.8016043435653006,-2.9523977180121417,Madrugada-Noche
48,0.7110100580863675,-1.8502435695425843,Madrugada-Noche
49,-0.5855561649131553,0.936111574920599,Tarde
50,-0.2025253930096845,0.27319786202363905,Tarde
51,-0.8577421651273317,-2.275394901825075,Madrugada-Noche
52,2.824733088482506,2.242123379390884,Tarde
53,-0.9472877859044991,-1.0404063158334578,Madrugada-Noche
54,-2.207796664585175,-0.3895092440734373,Madrugada-Noche
55,-3.4937081000376247,2.064859349798165,Tarde
56,-1.8187507072676856,1.14851148095479,Tarde
57,6.812616579858882,6.642696393725574,Tarde
58,2.4674062922969244,7.006446040696241,Tarde
60,-4.9770619054029615,0.134373479528415,Tarde
61,2.8798143103956484,1.8571765882007778,Tarde
62,6.120349231658052,0.022109551786958965,Tarde
64,2.104371366943474,3.9110352928992786,Tarde
65,3.7527946122230156,0.34087787923525736,Tarde
66,-2.77066627653817,-2.90030720061319,Madrugada-Noche
70,-3.11021467782733,-0.5737734848663915,Madrugada-Noche
71,-1.743843220842769,0.1909468055996828,Tarde
72,-1.6823483104574966,-2.3457324993061617,Madrugada-Noche
74,-4.5406761251320376,-0.8844910241208699,Madrugada-Noche
76,-5.108382048779853,-0.5123049725086887,Madrugada-Noche
81,-1.2327251704003725,-0.12725967297069884,Madrugada-Noche
89,-5.488429307346579,0.0977136728894341,Tarde
211,-2.1272828204580243,0.9416449382744585,Tarde
