Estacion,PC1,PC2,PC3,Patron_Lluvia
1,1.6093253151002007,0.5626567650661648,-0.46025988604723117,Temporada JJA
2,3.8613021960453304,-0.29712825226011935,-0.04400395159804672,Otro
3,5.778659708345666,-0.6977341599853423,0.530518802117341,Temporada FMA y SON
4,1.762301400320889,-1.0092144717209421,3.4662974740570616,Temporada FMA y SON
5,4.368672657115329,0.38980040626731327,0.42078046510094574,Temporada JJA
7,-3.951132326782941,-0.6953796258342457,-0.056914482120774844,Otro
8,2.03096646804371,-0.5389604176437717,-0.05109368985404518,Otro
9,-1.7408928890578805,-0.773515868030597,-0.4182613203226805,Otro
10,1.264254820910466,-1.116637573640138,0.8152722929396671,Temporada FMA y SON
11,-0.3349585279922619,-0.5386007778670704,0.5207165635267654,Temporada FMA y SON
12,-2.202978680353728,-0.5335285899868973,0.11990250549507325,Temporada FMA y SON
14,-1.0681732175115874,1.0278560013980411,-0.407356938613338,Temporada JJA
15,-0.5285884921210559,-1.0534566692238028,-0.009625276715170165,Otro
16,-0.7996191448107509,-0.44115801919430364,0.732942159526439,Temporada FMA y SON
17,-1.1769431541263782,0.17426904632398463,0.46191426125348406,Temporada FMA y SON
18,4.843237698505896,0.5876594990365661,0.9510319344299342,Temporada JJA
19,1.1625333538293803,-0.5264387714129202,-0.3636698545378522,Otro
20,-1.300028551365609,-0.20268654055509341,-0.26955747843893474,Otro
21,2.4665474884755176,-0.4457720948558037,-0.2427178047945878,Otro
22,-0.2592184199873127,-1.0405867465952858,-0.5155766482402877,Otro
23,0.6773783997674392,-0.5802469954329365,-0.8964416165415149,Otro
24,-1.9894206757769992,-0.0037745233170951857,-0.4016146585767963,Otro
25,4.3771590110871434,0.13019216092529995,1.4280248257120465,Temporada FMA y SON
26,2.4315062724020136,0.04834860952837915,0.7659686679197288,Temporada FMA y SON
27,-1.6309289284303248,0.21313645854171165,-0.16136485885190574,Temporada JJA
28,-3.6882165202301564,-0.1929471883450223,-0.09446079535176025,Otro
29,3.0965386484292043,0.0074024236964766775,1.0012797915725198,Temporada FMA y SON
30,3.7932412425828392,5.8655245706747765,-0.7173930727463642,Temporada JJA
31,-3.4353930433211675,1.733074845162848,1.6281956331760208,Temporada JJA
32,-5.486287644650262,0.5659545082732746,-0.22013799830426753,Temporada JJA
33,4.228460359591746,0.48285890026069334,-1.0036185640630244,Temporada JJA
34,2.52090871575364,-0.6494714677521374,-0.7790954458429854,Otro
35,-1.2268935815519575,-0.29048133120957587,-0.48601447535894204,Otro
36,4.909964171488125,-0.09218248259988135,-1.0287166789554998,Otro
37,-4.004579809540861,0.17173044859003544,-0.36634572228527207,Otro
39,-0.7122725659767652,-0.6821362042731333,-0.7569149705412741,Otro
40,-2.7245266923128266,0.2916779930016582,-0.3604876144486304,Temporada JJA
41,0.5705836988527853,-0.960116120756411,-0.27857444492086036,Otro
42,-0.2004961144323577,-0.8758744941263115,0.22382008816277044,Temporada FMA y SON
43,4.313260669357652,-0.2227112398257391,0.36903107156073645,Temporada FMA y SON
44,-3.274179427591674,-2.0134116556303754,0.0831847398335387,Temporada FMA y SON
45,-2.991750334280737,-1.1569879179406355,-0.2632484941454297,Otro
46,-0.5724610728185533,0.3136679248829305,0.28509503753675297,Temporada JJA
47,-2.310220607199977,1.6305415275361086,0.38759157793833626,Temporada JJA
48,0.29647014398961974,0.006554829654083759,-0.7201497981094199,Otro
49,-0.9370858412291748,-1.083691646559959,0.3448297172942406,Temporada FMA y SON
50,0.4655954717905306,-0.6188113404998968,-0.7612596618871117,Otro
51,-1.9328811593205442,1.0145326393004497,-0.20273633798748522,Temporada JJA
52,2.582491438978705,-0.9378609209942871,0.48138871036702185,Temporada FMA y SON
53,-0.5122144536206664,0.5524167797275762,0.2360710792806313,Temporada JJA
54,-1.5698110526616582,0.09700485672422303,-0.8836457286844199,Otro
55,-1.4436578772720718,0.1184556610348663,0.10391807681035677,Temporada FMA y SON
56,-1.6812024005735613,-0.9439116660485276,-0.14671045286617723,Otro
57,5.074302246371084,-0.4211136964967687,0.6064609226924732,Temporada FMA y SON
58,3.6830240609139056,-1.024515546744288,-0.11650793670940497,Otro
60,-3.423425691183494,-1.1851311161034097,-0.4345914414055478,Otro
61,4.493600704160381,1.2017746169222188,-0.8596979577818203,Temporada JJA
62,4.447862811652706,0.7907916562363938,-1.6965152718017014,Temporada JJA
64,2.696580189974282,-0.7394346718685852,-0.2140568734415174,Otro
65,2.195615419221971,0.14145737990668744,-1.0373065768351841,Otro
66,-2.9355636105754006,2.949682760306197,-0.029442696596449037,Temporada JJA
70,-3.9378524503017873,1.3049590405626708,0.9180301415632414,Temporada JJA
71,-2.3087238972625994,-0.94724565163956,0.3453094397573619,Temporada FMA y SON
72,-3.0599268069854255,1.68470280116282,0.35664923653538316,Temporada JJA
74,-4.516912987266175,0.1261165917680713,-0.23297362563096452,Otro
76,-4.103275377536423,0.07524478945060675,0.12724079838055546,Temporada FMA y SON
81,-0.10555486371883367,-0.8894640637623975,-0.47332375508099006,Otro
88,-1.2043742734629725,2.3902433445472644,1.5834755922272905,Temporada JJA
89,-3.988440533155786,0.08598823782181002,-0.3540526847461253,Otro
211,-0.7312810847074569,-0.31395755355893434,-0.478504064985921,Otro
